Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyMatch(deviceManufacturer, ""Apple"", false)",,,,2021-09-10 16:04:37,2021-09-10 16:04:37,0.002s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 16:04:37,2021-09-10 16:04:42,5.551s,PASSED
,,,,,,,
Test Cases/All test cases/Tap,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 16:04:42,2021-09-10 16:04:54,11.369s,PASSED
"tap(findTestObject(""DragAndDropApps/Clear text/XCUIElementTypeStaticText - Add""), 0)",,The iOS apps is started from setupTestCase(),,2021-09-10 16:04:43,2021-09-10 16:04:44,1.750s,PASSED
"lblAddItem = findTestObject(""DragAndDropApps/Tap/XCUIElementTypeStaticText - Add Item"")",,,,2021-09-10 16:04:44,2021-09-10 16:04:45,0.198s,PASSED
"verifyElementExist(lblAddItem, 0)",,,,2021-09-10 16:04:45,2021-09-10 16:04:48,3.616s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 16:04:48,2021-09-10 16:04:54,5.367s,PASSED
,,,,,,,
Test Cases/All test cases/Set text,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 16:04:54,2021-09-10 16:05:05,11.745s,PASSED
"tap(findTestObject(""DragAndDropApps/Clear text/XCUIElementTypeStaticText - Add""), 0)",,The iOS apps is started from setupTestCase(),,2021-09-10 16:04:54,2021-09-10 16:04:56,1.541s,PASSED
"txtEmptyElem = findTestObject(""DragAndDropApps/Clear text/XCUIElementTypeTextField"")",,,,2021-09-10 16:04:56,2021-09-10 16:04:56,0.101s,PASSED
"inputText = ""Katalon QA Team""",,,,2021-09-10 16:04:56,2021-09-10 16:04:56,0.000s,PASSED
"callTestCase(findTestCase(""_common/functionTC_setText""), [""object"":txtEmptyElem, ""text"":inputText])",,,,2021-09-10 16:04:56,2021-09-10 16:04:58,2.292s,PASSED
"txtElem = findTestObject(""DragAndDropApps/Clear text/XCUIElementTypeTextField - element after inputting text"", [""dynamicText"":inputText])",,,,2021-09-10 16:04:58,2021-09-10 16:04:58,0.055s,PASSED
"verifyElementExist(txtElem, 0)",,,,2021-09-10 16:04:58,2021-09-10 16:05:00,2.080s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 16:05:00,2021-09-10 16:05:05,5.292s,PASSED
,,,,,,,
Test Cases/All test cases/Get element height,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 16:05:05,2021-09-10 16:05:12,6.684s,PASSED
"elemHeight = getElementHeight(findTestObject(""DragAndDropApps/Drad and drop/XCUIElementTypeStaticText - Database Migration""), 0)",,The iOS apps is started from setupTestCase(),,2021-09-10 16:05:06,2021-09-10 16:05:07,1.295s,PASSED
"verifyMatch(elemHeight, ""44"", false)",,,,2021-09-10 16:05:07,2021-09-10 16:05:07,0.002s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 16:05:07,2021-09-10 16:05:12,5.021s,PASSED
,,,,,,,
Test Cases/All test cases/Verify element not have attribute,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 16:05:12,2021-09-10 16:05:21,8.624s,FAILED
"btnAdd = findTestObject(""DragAndDropApps/Clear text/XCUIElementTypeStaticText - Add"")",,The iOS apps is started from setupTestCase(),,2021-09-10 16:05:12,2021-09-10 16:05:12,0.034s,PASSED
try,,,,2021-09-10 16:05:12,2021-09-10 16:05:14,1.753s,FAILED
catch (Exception e),,,,2021-09-10 16:05:14,2021-09-10 16:05:14,0.001s,PASSED
try,,,,2021-09-10 16:05:14,2021-09-10 16:05:16,1.436s,FAILED
